time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.552645	0.442088	6.93528	1.16527e-17	-1.7882e-17	radar	73.4673	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15855	0.489291	6.94649	-0.044692	-0.00537769	lidar	0.248846	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27504	0.512635	6.94191	0.218571	0.0416932	radar	1.77684	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61394	0.598562	6.96481	0.256926	0.0521116	lidar	0.204597	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.81523	0.567571	6.48736	0.0968046	-0.0337431	radar	2.73782	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15502	0.616641	6.50213	0.113437	-0.00523587	lidar	0.152644	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36752	0.645234	5.57308	0.0954127	-0.174811	radar	7.92273	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64592	0.669035	5.57679	0.0843755	-0.184591	lidar	0.0057497	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91289	0.658654	5.49743	0.0269466	-0.386623	radar	0.440293	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14693	0.656578	5.45492	0.0113256	-0.365965	lidar	1.0554	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43551	0.548262	5.49439	-0.154099	-0.864297	radar	1.57446	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74152	0.433014	5.56702	-0.286782	-1.13893	lidar	2.30319	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02095	0.519047	5.53227	-0.140453	-0.564085	radar	4.01222	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29504	0.510088	5.51736	-0.135654	-0.482285	lidar	0.321689	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55502	0.5452	5.44262	-0.0949651	-0.338101	radar	1.90574	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74182	0.654143	5.28112	0.0119077	-0.0711557	lidar	12.3669	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.9946	0.651429	5.23003	0.00112036	-0.0867152	radar	1.98194	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.29769	0.646773	5.28215	-0.00888016	-0.0985704	lidar	2.59505	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.55536	0.654188	5.2909	-0.00372088	-0.0787853	radar	1.64767	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84988	0.66953	5.32377	0.00295709	-0.0613387	lidar	1.65053	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09469	0.59334	5.28227	-0.0541526	-0.152565	radar	3.79927	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35102	0.708474	5.25803	0.0234131	-0.017544	lidar	3.96708	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60282	0.739068	5.22915	0.0371434	0.00374736	radar	0.777177	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.8519	0.737782	5.21729	0.0310432	-0.00547097	lidar	0.288608	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09892	0.718654	5.17065	0.0124682	-0.0355475	radar	3.60933	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.32211	0.805116	5.12958	0.0598799	0.0357667	lidar	3.39502	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60983	0.81629	5.18393	0.0593027	0.0334101	radar	3.8084	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
