time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443100000	1.15507	0.483257	0.0838637	5.63785e-18	1.38778e-17	lidar	0.728616	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443200000	1.45022	0.553201	0.998707	0.00947811	0.00223357	lidar	4.81307	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443300000	1.92286	0.588974	2.47075	0.102932	0.0320044	lidar	8.19818	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443400000	2.48532	0.646505	3.26955	0.133408	0.0409128	lidar	4.39823	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443500000	2.91355	0.64152	3.58753	-0.034914	-0.0278447	lidar	1.38076	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443600000	3.59333	0.376965	4.36734	-0.536383	-0.271406	lidar	9.98807	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443700000	4.16467	0.489766	4.64628	-0.0404542	0.241257	lidar	3.99953	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443800000	4.50911	0.758072	4.22656	0.28341	0.708576	lidar	4.48445	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443900000	5.17575	0.724526	4.92397	0.13088	0.147938	lidar	10.2494	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010444000000	5.81265	0.725442	5.29261	0.0514993	-0.0882114	lidar	3.51223	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444100000	6.33089	0.882061	5.3264	0.174197	0.189478	lidar	0.595801	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444200000	6.82956	0.810073	5.23902	0.0431667	-0.105919	lidar	1.26128	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444300000	7.26687	0.912061	5.10129	0.105295	0.0262561	lidar	1.45971	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444400000	7.78639	0.821705	5.10181	-0.00397318	-0.162374	lidar	1.15601	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444500000	8.27736	0.829628	5.07526	-0.009824	-0.146442	lidar	0.0701747	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444600000	8.76995	0.941341	5.06192	0.0562262	-0.0288911	lidar	1.12204	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444700000	9.26714	1.00952	5.05452	0.0789371	0.00622569	lidar	0.149787	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444800000	9.85486	1.23945	5.22725	0.190027	0.150588	lidar	6.04372	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444900000	10.3274	1.39831	5.16882	0.238786	0.193281	lidar	0.721482	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010445000000	10.7986	1.49457	5.10997	0.244109	0.176713	lidar	0.421042	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445100000	11.3841	1.61202	5.27092	0.248161	0.158901	lidar	2.65856	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445200000	11.8572	1.74831	5.20885	0.269165	0.165471	lidar	0.397255	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445300000	12.349	1.84739	5.1765	0.265904	0.142046	lidar	0.344405	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445400000	12.7626	2.06879	5.06493	0.328354	0.200313	lidar	2.81094	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445500000	13.1877	2.3074	5.00958	0.387941	0.248236	lidar	1.43225	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445600000	13.7038	2.54463	5.13013	0.424124	0.261186	lidar	1.53986	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445700000	14.1761	2.82924	5.18763	0.479793	0.296848	lidar	0.971569	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445800000	14.5829	3.01668	5.06414	0.492369	0.276913	lidar	1.73153	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445900000	15.0172	3.35391	5.12258	0.562469	0.328631	lidar	1.66401	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010446000000	15.4634	3.70388	5.21194	0.621766	0.360413	lidar	1.30155	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446100000	15.9128	4.00562	5.2543	0.646277	0.345757	lidar	0.280654	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446200000	16.3228	4.37132	5.29231	0.699131	0.367982	lidar	0.383141	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446300000	16.6835	4.70721	5.22501	0.741726	0.375788	lidar	0.480989	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446400000	17.0325	5.12176	5.24648	0.808694	0.411903	lidar	0.680887	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446500000	17.3562	5.48643	5.17955	0.8514	0.414455	lidar	0.451362	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446600000	17.7336	5.78757	5.11766	0.845074	0.35599	lidar	2.08497	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446700000	18.087	6.17096	5.13867	0.871828	0.344884	lidar	0.105979	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446800000	18.3383	6.60936	5.10453	0.944801	0.392719	lidar	1.26245	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446900000	18.6093	6.94029	4.95904	0.963545	0.368427	lidar	2.40238	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010447000000	18.983	7.28466	4.97291	0.942429	0.296816	lidar	2.61853	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447100000	19.1711	7.76039	4.96798	1.03081	0.369163	lidar	2.64277	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447200000	19.318	8.1807	4.84986	1.10516	0.415966	lidar	2.5075	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447300000	19.4728	8.52247	4.65099	1.14384	0.414085	lidar	3.96601	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447400000	19.783	8.91886	4.71565	1.12255	0.336982	lidar	3.48658	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447500000	20.0404	9.37719	4.81697	1.13659	0.312333	lidar	1.33752	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447600000	20.2042	9.84848	4.84388	1.18948	0.338518	lidar	0.411068	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447700000	20.2935	10.3604	4.88104	1.27443	0.400307	lidar	2.0036	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447800000	20.4004	10.8881	4.96371	1.33799	0.428166	lidar	1.06422	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447900000	20.4337	11.3698	4.91803	1.41395	0.468771	lidar	1.00227	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010448000000	20.541	11.8802	4.9806	1.44379	0.447412	lidar	0.610609	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448100000	20.488	12.417	5.01627	1.54437	0.514712	lidar	2.34904	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448200000	20.4924	12.9097	5.00323	1.59323	0.511712	lidar	0.0217379	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448300000	20.3637	13.3376	4.85878	1.69286	0.572559	lidar	3.86089	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448400000	20.3037	13.8389	4.89921	1.74395	0.564479	lidar	0.195168	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448500000	20.1736	14.3233	4.91289	1.81641	0.583784	lidar	0.206937	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448600000	19.9409	14.7859	4.92009	1.92492	0.644774	lidar	1.85761	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448700000	19.8562	15.234	4.86915	1.94063	0.5861	lidar	1.98414	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448800000	19.7578	15.6473	4.76311	1.9596	0.539249	lidar	2.22465	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448900000	19.5301	16.0575	4.74132	2.03445	0.564899	lidar	0.376485	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010449000000	19.276	16.4093	4.65085	2.11703	0.59745	lidar	1.35348	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449100000	19.0169	16.8106	4.67599	2.17717	0.597645	lidar	0.0630955	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449200000	18.7005	17.245	4.80579	2.24059	0.600566	lidar	1.68729	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449300000	18.2855	17.5827	4.8658	2.35496	0.665463	lidar	2.4339	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449400000	18.0351	17.9689	4.8296	2.36217	0.594263	lidar	2.60337	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449500000	17.7565	18.2795	4.71661	2.39807	0.567306	lidar	1.63113	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449600000	17.4	18.6267	4.76976	2.44202	0.551344	lidar	0.40882	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449700000	17.0772	18.9163	4.6957	2.48159	0.533327	lidar	0.702616	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449800000	16.6512	19.1397	4.69672	2.57189	0.577755	lidar	0.98789	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449900000	16.2531	19.4629	4.78413	2.59597	0.536377	lidar	1.63161	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010450000000	15.8735	19.7633	4.79966	2.61277	0.491897	lidar	1.00524	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450100000	15.4543	20.0617	4.86664	2.63365	0.457247	lidar	1.04379	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450200000	15.0885	20.3493	4.82552	2.63578	0.404976	lidar	1.48646	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450300000	14.6652	20.5868	4.83334	2.67005	0.397425	lidar	0.034307	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450400000	14.1656	20.7158	4.86678	2.76191	0.460103	lidar	2.02837	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450500000	13.6274	20.8181	4.94922	2.85709	0.518902	lidar	2.36639	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450600000	13.1329	20.8999	4.9471	2.93284	0.547803	lidar	0.409106	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450700000	12.7197	21.0215	4.84073	2.9602	0.515912	lidar	1.65287	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450800000	12.2316	21.1007	4.8622	3.01121	0.51494	lidar	0.0467016	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450900000	11.7231	21.041	4.86543	3.11969	0.58403	lidar	2.36303	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010451000000	11.2763	21.051	4.79898	3.16828	0.573011	lidar	0.507861	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451100000	10.8255	20.9879	4.74389	3.24271	0.594529	lidar	0.529425	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451200000	10.3061	21.0335	4.83801	3.24831	0.528025	lidar	3.07593	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451300000	9.87889	20.9731	4.74394	3.2998	0.527491	lidar	0.883496	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451400000	9.45192	20.8817	4.67476	3.35616	0.532537	lidar	0.489617	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451500000	8.90827	20.7925	4.83375	3.39263	0.510806	lidar	2.76178	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451600000	8.37865	20.5961	4.97339	3.47076	0.542205	lidar	2.41772	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451700000	7.90461	20.4339	4.98466	3.51862	0.534392	lidar	0.0421802	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451800000	7.36084	20.3034	5.10134	3.52876	0.480784	lidar	2.74651	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451900000	6.86731	20.1351	5.12681	3.55601	0.455284	lidar	0.375799	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010452000000	6.39643	19.9556	5.11506	3.58314	0.433006	lidar	0.250397	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452100000	5.91162	19.7694	5.13257	3.60226	0.403439	lidar	0.456764	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452200000	5.53063	19.5412	5.00459	3.65294	0.4168	lidar	1.72767	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452300000	5.11767	19.3424	4.93175	3.67428	0.392375	lidar	0.819733	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452400000	4.76422	19.0399	4.86461	3.74746	0.434311	lidar	1.35349	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452500000	4.4001	18.7804	4.79568	3.78706	0.43013	lidar	0.483892	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452600000	4.10206	18.4748	4.68601	3.8548	0.461279	lidar	1.70223	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452700000	3.65801	18.1733	4.81677	3.86743	0.419176	lidar	2.61768	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732
1477010452800000	3.24905	17.8191	4.92884	3.90311	0.410601	lidar	1.29319	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331
1477010452900000	2.90161	17.5915	4.78589	3.89835	0.355911	lidar	3.49753	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167
1477010453000000	2.56504	17.1974	4.85253	3.95844	0.385239	lidar	0.860531	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251
1477010453100000	2.24521	16.8359	4.84904	3.99939	0.388198	lidar	0.00551086	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595
1477010453200000	1.9346	16.342	5.01052	4.08109	0.438977	lidar	3.86146	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216
1477010453300000	1.57126	15.9929	5.01932	4.07575	0.37924	lidar	1.73569	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132
1477010453400000	1.25331	15.5357	5.12085	4.11866	0.384501	lidar	1.04456	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364
1477010453500000	0.888757	15.0841	5.24944	4.13004	0.3506	lidar	2.20452	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933
1477010453600000	0.652696	14.6572	5.17937	4.17808	0.366906	lidar	0.617889	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864
1477010453700000	0.344855	14.2122	5.22568	4.19234	0.339157	lidar	0.588226	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181
1477010453800000	0.231709	13.7169	5.15168	4.29232	0.420669	lidar	3.79444	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909
1477010453900000	-0.0523497	13.2656	5.19057	4.2938	0.370429	lidar	1.40123	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075
1477010454000000	-0.146861	12.8233	5.04509	4.36874	0.418347	lidar	3.24932	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704
1477010454100000	-0.370742	12.357	5.0747	4.38017	0.38056	lidar	0.803663	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823
1477010454200000	-0.552732	11.9288	5.00211	4.39655	0.354398	lidar	0.871717	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456
1477010454300000	-0.875955	11.4482	5.12072	4.35222	0.255156	lidar	6.33923	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628
1477010454400000	-1.1821	11.0012	5.14676	4.31166	0.173509	lidar	3.3499	-1.39289	11.0424	-1.21362	10.9695	-2.08575	-4.73364
1477010454500000	-1.42018	10.4962	5.22552	4.3154	0.156755	lidar	0.766114	-1.49687	10.4198	-1.41889	10.4945	-2.02111	-4.76686
