time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714343	0.588512	7.07429	-1.00188e-17	-2.90419e-17	radar	74.3391	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443150000	0.879465	0.407628	7.09102	0.172506	0.0321297	radar	0.810426	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443250000	1.37503	0.352294	6.9009	-0.103444	-0.0353729	radar	0.622259	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443350000	2.01898	0.585625	6.17671	-0.114678	-0.376813	radar	4.63563	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443450000	2.65983	0.558259	5.9267	-0.148547	-0.559825	radar	2.34577	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443550000	3.28788	0.444564	5.84456	-0.251104	-0.780384	radar	1.68741	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443650000	3.91684	0.505831	5.65607	-0.117355	-0.245172	radar	4.93112	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443750000	4.47154	0.559617	5.46782	-0.04725	-0.0601314	radar	2.53273	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443850000	5.00615	0.589673	5.29618	-0.0204051	-0.0123456	radar	2.90339	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443950000	5.50102	0.623501	5.3187	0.0191488	0.0721319	radar	1.43921	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444050000	5.99452	0.508725	5.23512	-0.067915	-0.105779	radar	2.33769	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444150000	6.51432	0.629239	5.16565	0.0238403	0.0603305	radar	2.14372	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444250000	7.02858	0.633162	5.05043	0.0218677	0.0475845	radar	2.68093	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444350000	7.61437	0.702383	5.1983	0.0593201	0.0952892	radar	4.56782	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444450000	8.13113	0.788018	5.09361	0.0965742	0.131048	radar	2.53239	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444550000	8.63925	1.04495	5.21653	0.209833	0.250059	radar	5.72534	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444650000	9.22493	1.13556	5.27942	0.220138	0.23251	radar	5.33441	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444750000	9.77226	1.32796	5.33197	0.272179	0.262712	radar	1.9456	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444850000	10.2716	1.56081	5.24082	0.338108	0.309012	radar	2.77915	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444950000	10.7395	1.75049	5.10594	0.381705	0.330393	radar	2.71841	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445050000	11.2652	1.78972	5.13436	0.348692	0.262051	radar	2.38635	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445150000	11.7221	1.86304	5.05299	0.339237	0.22994	radar	2.09619	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445250000	12.2072	2.06498	5.14691	0.36749	0.23044	radar	1.0429	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445350000	12.706	2.12954	5.18359	0.341261	0.17897	radar	2.25992	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445450000	13.2067	2.39429	5.30756	0.383151	0.196369	radar	1.70789	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445550000	13.5357	2.78775	5.13439	0.489138	0.288522	radar	12.1469	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445650000	13.9725	2.97076	5.08597	0.500202	0.274524	radar	0.765706	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445750000	14.4698	3.11345	5.15766	0.47917	0.220409	radar	1.74258	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445850000	14.8935	3.50162	5.25376	0.544662	0.253648	radar	2.07661	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445950000	15.3049	3.87742	5.22453	0.610577	0.297657	radar	1.18365	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446050000	15.7516	4.01091	5.14099	0.589229	0.256022	radar	2.20751	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446150000	16.1624	4.2921	5.05178	0.62359	0.275514	radar	1.52702	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446250000	16.5942	4.5577	5.0595	0.636506	0.26148	radar	0.320247	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446350000	16.9172	4.95102	4.91966	0.718377	0.333461	radar	4.61913	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446450000	17.2961	5.15743	4.82554	0.723377	0.318066	radar	1.4382	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446550000	17.6571	5.34576	4.6988	0.72811	0.307403	radar	2.26427	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446650000	17.9493	5.76202	4.67271	0.8023	0.35442	radar	1.31366	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446750000	18.2298	6.23922	4.75037	0.874881	0.380493	radar	1.25229	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446850000	18.487	6.70055	4.78081	0.944825	0.408867	radar	0.477759	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446950000	18.7849	7.091	4.82648	0.967538	0.380542	radar	0.613699	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447050000	18.959	7.52842	4.76723	1.04601	0.430011	radar	3.29042	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447150000	19.2262	7.87913	4.7498	1.06162	0.402541	radar	0.326048	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447250000	19.4218	8.28252	4.75003	1.09564	0.388282	radar	2.27224	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447350000	19.6284	8.66024	4.6913	1.13539	0.401081	radar	0.559552	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447450000	19.7578	9.17364	4.72024	1.20988	0.435486	radar	0.653656	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447550000	19.8415	9.67581	4.72334	1.29134	0.479372	radar	1.03801	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447650000	19.8748	10.3477	4.90727	1.36208	0.460795	radar	5.98297	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447750000	19.9061	10.853	4.90618	1.43466	0.492857	radar	0.955605	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447850000	19.9046	11.4811	5.02834	1.492	0.47113	radar	2.87643	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447950000	19.7667	12.0838	5.07669	1.61483	0.561674	radar	5.11755	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448050000	19.8722	12.4399	4.95951	1.59026	0.458251	radar	4.60386	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448150000	19.8376	12.8779	4.89108	1.66007	0.511446	radar	2.02362	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448250000	19.9458	13.1857	4.73765	1.67299	0.497444	radar	5.19422	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448350000	19.8925	13.6391	4.72782	1.71608	0.486521	radar	0.187697	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448450000	19.8731	14.0147	4.64134	1.76196	0.505089	radar	1.38666	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448550000	19.7598	14.463	4.63886	1.81599	0.508773	radar	0.146516	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448650000	19.7277	14.7832	4.52254	1.84297	0.489365	radar	1.88539	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448750000	19.5582	15.2072	4.50332	1.95446	0.613243	radar	10.4389	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448850000	19.4694	15.5341	4.41364	1.99416	0.595565	radar	1.06277	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448950000	19.2892	15.9403	4.41348	2.0333	0.556465	radar	0.827901	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449050000	19.1113	16.3136	4.39535	2.08988	0.567448	radar	0.692481	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449150000	18.794	16.7996	4.524	2.19559	0.652797	radar	9.7273	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449250000	18.6417	17.1277	4.41895	2.19531	0.547231	radar	5.04035	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
